growth_transitions,location,year,diseases,scenario,both,disability,mortality
FALSE,Global,2058,Infant,100% reduction,569.6980623910704,185.28519160724736,373.91756018950366
FALSE,Global,2059,Infant,100% reduction,584.1962642185736,185.68137724689387,387.63646027365206
FALSE,Global,2060,Infant,100% reduction,598.7739554864426,186.04813646936415,401.4631761521587
FALSE,Global,2061,Infant,100% reduction,613.4162515900049,186.3862597959423,415.38266176258185
FALSE,Global,2062,Infant,100% reduction,628.1054694672213,186.69525495242976,429.3783719513712
FALSE,Global,2063,Infant,100% reduction,642.8001143257208,186.98004137501144,443.4049236156721
FALSE,Global,2064,Infant,100% reduction,657.5143665590801,187.23820474921894,457.47843797607993
FALSE,Global,2065,Infant,100% reduction,672.2441069772215,187.47137992754077,471.5932407661142
FALSE,Global,2066,Infant,100% reduction,686.9873526059723,187.6787403914547,485.748146914608
FALSE,Global,2067,Infant,100% reduction,701.7428823733874,187.86026691396998,499.94186903917597
FALSE,Global,2068,Infant,100% reduction,716.4751851200314,188.0169529156904,514.1391005927944
FALSE,Global,2069,Infant,100% reduction,731.2140267543354,188.14520579576492,528.3715103632775
FALSE,Global,2070,Infant,100% reduction,745.9644730608444,188.24659670697116,542.6420760804654
FALSE,Global,2071,Infant,100% reduction,760.7378503911591,188.32212852315809,556.9606117631683
FALSE,Global,2072,Infant,100% reduction,775.5405509639616,188.3716425202961,571.3332006637984
FALSE,Global,2073,Infant,100% reduction,790.3309087958145,188.3946273574009,585.7193404540482
FALSE,Global,2074,Infant,100% reduction,805.1478158715057,188.3897572954607,600.1581237055511
FALSE,Global,2075,Infant,100% reduction,819.9976002470531,188.35837573348618,614.654188917303
FALSE,Global,2076,Infant,100% reduction,834.8879226223336,188.30017754358673,629.2152863841019
FALSE,Global,2077,Infant,100% reduction,849.8224678372841,188.21648165976714,643.843592365942
FALSE,Global,2078,Infant,100% reduction,864.7562032309885,188.10800368890477,658.4935624308462
FALSE,Global,2079,Infant,100% reduction,879.7191667076091,187.9728084354906,673.1975642132759
FALSE,Global,2080,Infant,100% reduction,894.7156147213411,187.81402276470376,687.9566456828355
FALSE,Global,2081,Infant,100% reduction,909.7464372643452,187.63164755377673,702.7718458495254
FALSE,Global,2082,Infant,100% reduction,924.79860683144,187.423271499547,717.6332554931907
FALSE,Global,2083,Infant,100% reduction,939.8249887570877,187.19686408480453,732.4888381622582
FALSE,Global,2084,Infant,100% reduction,954.8437981178598,186.9438871476412,747.3630267155313
FALSE,Global,2085,Infant,100% reduction,969.857967569665,186.67040429713632,762.2527151375303
FALSE,Global,2086,Infant,100% reduction,984.8553224428091,186.37542417091274,777.1473492887907
FALSE,Global,2087,Infant,100% reduction,999.819459943348,186.05865966010856,792.0314707672977
FALSE,Global,2088,Infant,100% reduction,1014.6790173076839,185.72178274045564,806.8327440271702
FALSE,Global,2089,Infant,100% reduction,1029.4680636643468,185.36577034909342,821.5844766027527
FALSE,Global,2090,Infant,100% reduction,1044.1811157757654,184.99094767478655,836.2813227621126
FALSE,Global,2091,Infant,100% reduction,1058.803447889409,184.5969139289198,850.9094985428839
FALSE,Global,2092,Infant,100% reduction,1073.322172505638,184.18474732472612,865.4552925289803
FALSE,Global,2093,Infant,100% reduction,1087.6706064308062,183.75449345633984,879.8521052796526
FALSE,Global,2094,Infant,100% reduction,1101.873869153755,183.3069077013149,894.1251850769005
FALSE,Global,2095,Infant,100% reduction,1115.9363163004684,182.84244127408886,908.2784934152718
FALSE,Global,2096,Infant,100% reduction,1129.8494433239555,182.36133765150453,922.3034651700611
FALSE,Global,2097,Infant,100% reduction,1143.6097409300403,181.8657130505266,936.1943177658806
FALSE,Global,2098,Infant,100% reduction,1157.1681435040837,181.35563962244225,949.9016858203697
FALSE,Global,2099,Infant,100% reduction,1170.5407507244272,180.8315588870392,963.4420505068255
FALSE,Global,2100,Infant,100% reduction,1183.7383106926575,180.2936590624628,976.825877119587
FALSE,Global,2101,Infant,100% reduction,1196.760511642212,179.7421171765337,990.0525346921615
FALSE,Global,2102,Infant,100% reduction,1209.6604210613489,179.18843670810222,1003.1612128574724
FALSE,Global,2103,Infant,100% reduction,1222.4118709336099,178.63078841971682,1016.1263860979166
FALSE,Global,2104,Infant,100% reduction,1235.024152017351,178.07026651108168,1028.9578743448124
FALSE,Global,2105,Infant,100% reduction,1247.5139029651414,177.50495455538464,1041.6741075126954
FALSE,Global,2106,Infant,100% reduction,1259.8897453243485,176.93532916703893,1054.2829037337285
FALSE,Global,2107,Infant,100% reduction,1272.153797290021,176.36053335224247,1066.7872105532713
FALSE,Global,2108,Infant,100% reduction,1284.2870717316523,175.77965693934823,1079.1681775844506
FALSE,Global,2109,Infant,100% reduction,1296.2900446091546,175.1945402764597,1091.4256643709516
FALSE,Global,2110,Infant,100% reduction,1308.1780417310372,174.6033228686552,1103.576821368927
FALSE,Global,2111,Infant,100% reduction,1319.9587684187327,174.0062654643507,1115.6288392396516
FALSE,Global,2112,Infant,100% reduction,1331.6332432877607,173.40218775568675,1127.5840901421432
FALSE,Global,2113,Infant,100% reduction,1343.193650446967,172.79042065770054,1139.4348119316644
FALSE,Global,2114,Infant,100% reduction,1354.6350750662766,172.1728460631771,1151.1750666116181
