"location","year","age_name","age","disability","disability_infant","disability_adult_early","disability_adult_late","disability_ageing","disability_covid","disability_ageing_nocov"
"Global",1990,"55-59 years",56,18022.3650728532,1740.73300917935,3396.74141528389,5878.48781412721,7006.40283426276,0,7006.40283426276
"Global",1990,"55-59 years",57,18022.3650728532,1740.73300917935,3396.74141528389,5878.48781412721,7006.40283426276,0,7006.40283426276
"Global",1990,"55-59 years",58,18022.3650728532,1740.73300917935,3396.74141528389,5878.48781412721,7006.40283426276,0,7006.40283426276
"Global",1990,"55-59 years",59,18022.3650728532,1740.73300917935,3396.74141528389,5878.48781412721,7006.40283426276,0,7006.40283426276
"Global",1990,"60-64 years",60,20253.186830519,1636.87804882136,3171.16398902458,6357.48589220502,9087.65890046803,0,9087.65890046803
"Global",1990,"60-64 years",61,20253.186830519,1636.87804882136,3171.16398902458,6357.48589220502,9087.65890046803,0,9087.65890046803
"Global",1990,"60-64 years",62,20253.186830519,1636.87804882136,3171.16398902458,6357.48589220502,9087.65890046803,0,9087.65890046803
"Global",1990,"60-64 years",63,20253.186830519,1636.87804882136,3171.16398902458,6357.48589220502,9087.65890046803,0,9087.65890046803
"Global",1990,"60-64 years",64,20253.186830519,1636.87804882136,3171.16398902458,6357.48589220502,9087.65890046803,0,9087.65890046803
"Global",1990,"65-69 years",65,22884.4566350084,1573.48308799608,2890.90096015649,6756.66578421462,11663.4068026412,0,11663.4068026412
"Global",1990,"65-69 years",66,22884.4566350084,1573.48308799608,2890.90096015649,6756.66578421462,11663.4068026412,0,11663.4068026412
"Global",1990,"65-69 years",67,22884.4566350084,1573.48308799608,2890.90096015649,6756.66578421462,11663.4068026412,0,11663.4068026412
"Global",1990,"65-69 years",68,22884.4566350084,1573.48308799608,2890.90096015649,6756.66578421462,11663.4068026412,0,11663.4068026412
"Global",1990,"65-69 years",69,22884.4566350084,1573.48308799608,2890.90096015649,6756.66578421462,11663.4068026412,0,11663.4068026412
"Global",1990,"70-74 years",70,25900.0135198248,1573.26009385046,2597.03397462539,7107.94571173021,14621.7737396188,0,14621.7737396188
"Global",1990,"70-74 years",71,25900.0135198248,1573.26009385046,2597.03397462539,7107.94571173021,14621.7737396188,0,14621.7737396188
"Global",1990,"70-74 years",72,25900.0135198248,1573.26009385046,2597.03397462539,7107.94571173021,14621.7737396188,0,14621.7737396188
"Global",1990,"70-74 years",73,25900.0135198248,1573.26009385046,2597.03397462539,7107.94571173021,14621.7737396188,0,14621.7737396188
"Global",1990,"70-74 years",74,25900.0135198248,1573.26009385046,2597.03397462539,7107.94571173021,14621.7737396188,0,14621.7737396188
"Global",1990,"75-79 years",75,28831.9699206797,1499.57633998617,2335.39312246056,7141.88140069751,17855.1190575354,0,17855.1190575354
"Global",1990,"75-79 years",76,28831.9699206797,1499.57633998617,2335.39312246056,7141.88140069751,17855.1190575354,0,17855.1190575354
"Global",1990,"75-79 years",77,28831.9699206797,1499.57633998617,2335.39312246056,7141.88140069751,17855.1190575354,0,17855.1190575354
"Global",1990,"75-79 years",78,28831.9699206797,1499.57633998617,2335.39312246056,7141.88140069751,17855.1190575354,0,17855.1190575354
"Global",1990,"75-79 years",79,28831.9699206797,1499.57633998617,2335.39312246056,7141.88140069751,17855.1190575354,0,17855.1190575354
"Global",1990,"80-84 years",80,32133.9767285468,1469.05131878992,2105.07030664592,6757.85921137524,21801.9958917357,0,21801.9958917357
"Global",1990,"80-84 years",81,32133.9767285468,1469.05131878992,2105.07030664592,6757.85921137524,21801.9958917357,0,21801.9958917357
"Global",1990,"80-84 years",82,32133.9767285468,1469.05131878992,2105.07030664592,6757.85921137524,21801.9958917357,0,21801.9958917357
"Global",1990,"80-84 years",83,32133.9767285468,1469.05131878992,2105.07030664592,6757.85921137524,21801.9958917357,0,21801.9958917357
"Global",1990,"80-84 years",84,32133.9767285468,1469.05131878992,2105.07030664592,6757.85921137524,21801.9958917357,0,21801.9958917357
