"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster","level1_name"
"189","Osteoarthritis hand","Ageing-related",0.23232683501142,0.555361209895396,"Non-communicable diseases"
"190","Osteoarthritis hip","Ageing-related",0.0427944483196202,0.102297165088235,"Non-communicable diseases"
"191","Osteoarthritis knee","Adult (late)",0.449933525998454,2.94112485217978,"Non-communicable diseases"
"192","Osteoarthritis other","Ageing-related",0.0742780728166225,0.17755658913061,"Non-communicable diseases"
"193","Other benign and in situ neoplasms","Ageing-related",0.0761836291571431,0.182111689598205,"Non-communicable diseases"
"194","Other cardiomyopathy","Ageing-related",0.328462255418717,0.785166274766937,"Non-communicable diseases"
"195","Other cardiovascular and circulatory diseases","Ageing-related",0.412879681989235,0.986960286871282,"Non-communicable diseases"
"196","Other chromosomal abnormalities","Infant",0.0847170325913793,0.315451692138407,"Non-communicable diseases"
"197","Other chronic respiratory diseases","Infant",0.13038968870912,0.485518043804542,"Non-communicable diseases"
"198","Other congenital birth defects","Infant",0.27453538942055,1.02225786828848,"Non-communicable diseases"
"199","Other digestive diseases","Ageing-related",0.126275724298553,0.301853374034104,"Non-communicable diseases"
"200","Other direct maternal disorders","Adult (early)",0.0886268221953481,0.553476909555747,"Communicable, maternal, neonatal, and nutritional diseases"
"201","Other drug use disorders","Adult (early)",0.0340455571945907,0.212615428528301,"Non-communicable diseases"
"202","Other endocrine, metabolic, blood, and immune disorders","Ageing-related",0.26120953103724,0.624403294548044,"Non-communicable diseases"
"203","Other exposure to mechanical forces","Adult (late)",0.339158178372188,2.21700871260234,"Injuries"
"204","Other eye cancers","Ageing-related",0.00736542095891895,0.017606528728948,"Non-communicable diseases"
"205","Other gynecological diseases","Adult (early)",0.609545810508331,3.80663012704198,"Non-communicable diseases"
"206","Other hemoglobinopathies and hemolytic anemias","Ageing-related",0.159812261811009,0.382020144470693,"Non-communicable diseases"
"207","Other intestinal infectious diseases","Infant",0.00340165246391815,0.0126663669983048,"Communicable, maternal, neonatal, and nutritional diseases"
"208","Other leukemia","Ageing-related",0.0646820997269166,0.154618080004186,"Non-communicable diseases"
"209","Other malignant neoplasms","Ageing-related",0.239115280485484,0.571588518684757,"Non-communicable diseases"
"210","Other mental disorders","Adult (late)",0.337839229425131,2.20838700894437,"Non-communicable diseases"
"211","Other musculoskeletal disorders","Adult (late)",1.6243468995416,10.6180285725572,"Non-communicable diseases"
"212","Other neglected tropical diseases","Infant",0.183768577407338,0.684279263942392,"Communicable, maternal, neonatal, and nutritional diseases"
"213","Other neonatal disorders","Infant",0.625184157524013,2.32793092907674,"Communicable, maternal, neonatal, and nutritional diseases"
"214","Other neurological disorders","Ageing-related",0.210189593845718,0.502443667946675,"Non-communicable diseases"
"215","Other non-Hodgkin lymphoma","Ageing-related",0.283952832216306,0.678769580987579,"Non-communicable diseases"
"216","Other non-rheumatic valve diseases","Ageing-related",0.00183686415797787,0.00439089656232751,"Non-communicable diseases"
"217","Other nutritional deficiencies","Ageing-related",0.060294780747913,0.144130497817407,"Communicable, maternal, neonatal, and nutritional diseases"
"218","Other oral disorders","Adult (early)",0.15854453972412,0.990114952785144,"Non-communicable diseases"
"219","Other pharynx cancer","Adult (late)",0.119013444948893,0.777966922793661,"Non-communicable diseases"
"220","Other pneumoconiosis","Ageing-related",0.00233268120326197,0.00557611287254068,"Non-communicable diseases"
"221","Other road injuries","Infant",0.0426335322525446,0.158749893374701,"Injuries"
"222","Other sense organ diseases","Ageing-related",0.107498569954637,0.256967886938664,"Non-communicable diseases"
"223","Other sexually transmitted infections","Adult (early)",0.0165739322666233,0.10350465674937,"Communicable, maternal, neonatal, and nutritional diseases"
"224","Other skin and subcutaneous diseases","Ageing-related",0.0488973834178811,0.116885808797501,"Non-communicable diseases"
"225","Other transport injuries","Adult (early)",0.168626300644861,1.05307582331023,"Injuries"
"226","Other unintentional injuries","Adult (late)",0.456918417779492,2.98678368314022,"Injuries"
"227","Other unspecified infectious diseases","Infant",0.331025889871177,1.23260546205806,"Communicable, maternal, neonatal, and nutritional diseases"
"228","Other urinary diseases","Ageing-related",0.0754466967102458,0.180350103618265,"Non-communicable diseases"
"229","Other vision loss","Ageing-related",0.160651220388221,0.384025616849593,"Non-communicable diseases"
"230","Otitis media","Infant",0.0895399964407838,0.333410443299526,"Communicable, maternal, neonatal, and nutritional diseases"
"231","Ovarian cancer","Adult (late)",0.231596868080469,1.51390208784044,"Non-communicable diseases"
"232","Pancreatic cancer","Ageing-related",0.438898303382441,1.04915599945881,"Non-communicable diseases"
"233","Pancreatitis","Ageing-related",0.150209953208556,0.359066490739797,"Non-communicable diseases"
"234","Paralytic ileus and intestinal obstruction","Ageing-related",0.257175808947258,0.614760961237027,"Non-communicable diseases"
"235","Paratyphoid fever","Infant",0.0288195976770145,0.107312432646365,"Communicable, maternal, neonatal, and nutritional diseases"
"236","Parkinson's disease","Ageing-related",0.285104140340809,0.681521703328311,"Non-communicable diseases"
"237","Pedestrian road injuries","Adult (late)",0.752164199977779,4.9167459049988,"Injuries"
"238","Peptic ulcer disease","Ageing-related",0.213871664576949,0.511245403037312,"Non-communicable diseases"
"239","Periodontal diseases","Adult (late)",0.252297982264632,1.64922110248764,"Non-communicable diseases"
"240","Pertussis","Infant",0.362195694967949,1.34866910900881,"Communicable, maternal, neonatal, and nutritional diseases"
"241","Physical violence by firearm","Adult (early)",0.38860592557002,2.4268545502564,"Injuries"
"242","Physical violence by other means","Infant",0.413100348763848,1.53821728706044,"Injuries"
"243","Physical violence by sharp object","Adult (early)",0.204404981502003,1.27651465614059,"Injuries"
"244","Poisoning by carbon monoxide","Adult (late)",0.048048952718343,0.314086327858163,"Injuries"
"245","Poisoning by other means","Infant",0.0835415088227826,0.311074520858797,"Injuries"
"246","Police conflict and executions","Adult (early)",0.0373361468828267,0.233165250423602,"Injuries"
"247","Polycystic ovarian syndrome","Adult (early)",0.0233387481377679,0.145751115432296,"Non-communicable diseases"
"248","Premenstrual syndrome","Adult (early)",0.294804035484462,1.8410592012975,"Non-communicable diseases"
"249","Prostate cancer","Ageing-related",0.318452747117901,0.761239238356675,"Non-communicable diseases"
"250","Protein-energy malnutrition","Infant",0.502922611395073,1.87267877457958,"Communicable, maternal, neonatal, and nutritional diseases"
"251","Pruritus","Adult (late)",0.00406796423739079,0.0265914630162718,"Non-communicable diseases"
"252","Psoriasis","Adult (late)",0.0946899275056353,0.618968987518576,"Non-communicable diseases"
"253","Pulmonary Arterial Hypertension","Ageing-related",0.0250496328673642,0.0598794126213231,"Non-communicable diseases"
"254","Pulmonary aspiration and foreign body in airway","Infant",0.197179808769021,0.734217222075418,"Injuries"
"255","Pyoderma","Ageing-related",0.0640126064946992,0.153017702796608,"Non-communicable diseases"
"256","Rabies","Infant",0.03113647752057,0.115939548643879,"Communicable, maternal, neonatal, and nutritional diseases"
"257","Refraction disorders","Adult (late)",0.184614241545018,1.20678611950388,"Non-communicable diseases"
"258","Retinoblastoma","Infant",0.0101027910785706,0.0376186752955296,"Non-communicable diseases"
"259","Rheumatic heart disease","Ageing-related",0.517500601480465,1.23704934966148,"Non-communicable diseases"
"260","Rheumatoid arthritis","Ageing-related",0.119312890123141,0.285209201131014,"Non-communicable diseases"
"261","Scabies","Infant",0.114350256791205,0.42579373825846,"Non-communicable diseases"
"262","Schistosomiasis","Adult (early)",0.0740574612258381,0.462490854952181,"Communicable, maternal, neonatal, and nutritional diseases"
"263","Schizophrenia","Adult (early)",0.606083432242597,3.78500748081861,"Non-communicable diseases"
"264","Seborrhoeic dermatitis","Adult (late)",0.0128215863714277,0.0838121281086868,"Non-communicable diseases"
