"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster"
"159","Maternal sepsis and other maternal infections","Adult (early)",0.0597347386978857,0.373045064108834
"160","Measles","Infant",0.44612897762324,1.66120243590247
"161","Meningitis","Infant",0.625051348319802,2.32743640174359
"162","Mesothelioma","Ageing-related",0.02232317447982,0.0533620026597851
"163","Migraine","Adult (early)",1.46156164440244,9.12749212970809
"164","Motor neuron disease","Adult (late)",0.0435640177192538,0.284769210941924
"165","Motor vehicle road injuries","Adult (early)",1.07000410199545,6.6822046522108
"166","Motorcyclist road injuries","Adult (early)",0.64956360145324,4.05654231740142
"167","Multidrug-resistant tuberculosis without extensive drug resistance","Adult (late)",0.132785733755432,0.867993601268935
"168","Multiple myeloma","Ageing-related",0.100562992817548,0.240388870098068
"169","Multiple sclerosis","Adult (late)",0.0381951411316633,0.24967394586914
"170","Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms","Ageing-related",0.0436703622119837,0.104390976588758
"171","Myocarditis","Ageing-related",0.0232098555579633,0.0554815523722617
"172","Nasopharynx cancer","Adult (late)",0.092355896469866,0.603711896663151
"173","Near vision loss","Adult (late)",0.20148136100166,1.31704308270423
"174","Neck pain","Adult (late)",0.740732171733442,4.84201703853874
"175","Neonatal encephalopathy due to birth asphyxia and trauma","Infant",1.96461165753144,7.31541288458912
"176","Neonatal preterm birth","Infant",2.51042717784791,9.34780736551617
"177","Neonatal sepsis and other neonatal infections","Infant",0.810927656879893,3.01956399722417
"178","Neural tube defects","Infant",0.143610820539604,0.534748148782692
"179","Neuroblastoma and other peripheral nervous cell tumors","Infant",0.0119068703601156,0.0443363310573903
"180","Non-melanoma skin cancer (basal-cell carcinoma)","Ageing-related",9.33971877062551e-05,0.000223259509228986
"181","Non-melanoma skin cancer (squamous-cell carcinoma)","Ageing-related",0.0475917550079376,0.11376479450148
"182","Non-rheumatic calcific aortic valve disease","Ageing-related",0.0840854351318581,0.201000409561444
"183","Non-rheumatic degenerative mitral valve disease","Ageing-related",0.0365557794675737,0.0873840592404364
"184","Non-venomous animal contact","Infant",0.0315634153587928,0.117529291100451
"185","Nonalcoholic fatty liver disease including cirrhosis","Adult (late)",0.0903539079029691,0.590625300560284
"186","Onchocerciasis","Adult (early)",0.0311738908889153,0.194681794524847
"187","Opioid use disorders","Adult (early)",0.457112634779937,2.85468080824593
"188","Orofacial clefts","Infant",0.0198640823241874,0.0739657444349531
"189","Osteoarthritis hand","Ageing-related",0.23232683501142,0.555361209895396
"190","Osteoarthritis hip","Ageing-related",0.0427944483196202,0.102297165088235
"191","Osteoarthritis knee","Adult (late)",0.449933525998454,2.94112485217978
"192","Osteoarthritis other","Ageing-related",0.0742780728166225,0.17755658913061
"193","Other benign and in situ neoplasms","Ageing-related",0.0761836291571431,0.182111689598205
"194","Other cardiomyopathy","Ageing-related",0.328462255418717,0.785166274766937
"195","Other cardiovascular and circulatory diseases","Ageing-related",0.412879681989235,0.986960286871282
"196","Other chromosomal abnormalities","Infant",0.0847170325913793,0.315451692138407
"197","Other chronic respiratory diseases","Infant",0.13038968870912,0.485518043804542
"198","Other congenital birth defects","Infant",0.27453538942055,1.02225786828848
"199","Other digestive diseases","Ageing-related",0.126275724298553,0.301853374034104
"200","Other direct maternal disorders","Adult (early)",0.0886268221953481,0.553476909555747
"201","Other drug use disorders","Adult (early)",0.0340455571945907,0.212615428528301
"202","Other endocrine, metabolic, blood, and immune disorders","Ageing-related",0.26120953103724,0.624403294548044
"203","Other exposure to mechanical forces","Adult (late)",0.339158178372188,2.21700871260234
"204","Other eye cancers","Ageing-related",0.00736542095891895,0.017606528728948
"205","Other gynecological diseases","Adult (early)",0.609545810508331,3.80663012704198
"206","Other hemoglobinopathies and hemolytic anemias","Ageing-related",0.159812261811009,0.382020144470693
"207","Other intestinal infectious diseases","Infant",0.00340165246391815,0.0126663669983048
"208","Other leukemia","Ageing-related",0.0646820997269166,0.154618080004186
"209","Other malignant neoplasms","Ageing-related",0.239115280485484,0.571588518684757
"210","Other mental disorders","Adult (late)",0.337839229425131,2.20838700894437
"211","Other musculoskeletal disorders","Adult (late)",1.6243468995416,10.6180285725572
"212","Other neglected tropical diseases","Infant",0.183768577407338,0.684279263942392
"213","Other neonatal disorders","Infant",0.625184157524013,2.32793092907674
"214","Other neurological disorders","Ageing-related",0.210189593845718,0.502443667946675
"215","Other non-Hodgkin lymphoma","Ageing-related",0.283952832216306,0.678769580987579
"216","Other non-rheumatic valve diseases","Ageing-related",0.00183686415797787,0.00439089656232751
"217","Other nutritional deficiencies","Ageing-related",0.060294780747913,0.144130497817407
"218","Other oral disorders","Adult (early)",0.15854453972412,0.990114952785144
"219","Other pharynx cancer","Adult (late)",0.119013444948893,0.777966922793661
"220","Other pneumoconiosis","Ageing-related",0.00233268120326197,0.00557611287254068
"221","Other road injuries","Infant",0.0426335322525446,0.158749893374701
"222","Other sense organ diseases","Ageing-related",0.107498569954637,0.256967886938664
"223","Other sexually transmitted infections","Adult (early)",0.0165739322666233,0.10350465674937
"224","Other skin and subcutaneous diseases","Ageing-related",0.0488973834178811,0.116885808797501
"225","Other transport injuries","Adult (early)",0.168626300644861,1.05307582331023
"226","Other unintentional injuries","Adult (late)",0.456918417779492,2.98678368314022
"227","Other unspecified infectious diseases","Infant",0.331025889871177,1.23260546205806
"228","Other urinary diseases","Ageing-related",0.0754466967102458,0.180350103618265
"229","Other vision loss","Ageing-related",0.160651220388221,0.384025616849593
"230","Otitis media","Infant",0.0895399964407838,0.333410443299526
"231","Ovarian cancer","Adult (late)",0.231596868080469,1.51390208784044
"232","Pancreatic cancer","Ageing-related",0.438898303382441,1.04915599945881
"233","Pancreatitis","Ageing-related",0.150209953208556,0.359066490739797
"234","Paralytic ileus and intestinal obstruction","Ageing-related",0.257175808947258,0.614760961237027
"235","Paratyphoid fever","Infant",0.0288195976770145,0.107312432646365
"236","Parkinson's disease","Ageing-related",0.285104140340809,0.681521703328311
"237","Pedestrian road injuries","Adult (late)",0.752164199977779,4.9167459049988
"238","Peptic ulcer disease","Ageing-related",0.213871664576949,0.511245403037312
"239","Periodontal diseases","Adult (late)",0.252297982264632,1.64922110248764
"240","Pertussis","Infant",0.362195694967949,1.34866910900881
"241","Physical violence by firearm","Adult (early)",0.38860592557002,2.4268545502564
"242","Physical violence by other means","Infant",0.413100348763848,1.53821728706044
"243","Physical violence by sharp object","Adult (early)",0.204404981502003,1.27651465614059
"244","Poisoning by carbon monoxide","Adult (late)",0.048048952718343,0.314086327858163
"245","Poisoning by other means","Infant",0.0835415088227826,0.311074520858797
"246","Police conflict and executions","Adult (early)",0.0373361468828267,0.233165250423602
"247","Polycystic ovarian syndrome","Adult (early)",0.0233387481377679,0.145751115432296
"248","Premenstrual syndrome","Adult (early)",0.294804035484462,1.8410592012975
"249","Prostate cancer","Ageing-related",0.318452747117901,0.761239238356675
"250","Protein-energy malnutrition","Infant",0.502922611395073,1.87267877457958
"251","Pruritus","Adult (late)",0.00406796423739079,0.0265914630162718
"252","Psoriasis","Adult (late)",0.0946899275056353,0.618968987518576
"253","Pulmonary Arterial Hypertension","Ageing-related",0.0250496328673642,0.0598794126213231
"254","Pulmonary aspiration and foreign body in airway","Infant",0.197179808769021,0.734217222075418
"255","Pyoderma","Ageing-related",0.0640126064946992,0.153017702796608
"256","Rabies","Infant",0.03113647752057,0.115939548643879
"257","Refraction disorders","Adult (late)",0.184614241545018,1.20678611950388
"258","Retinoblastoma","Infant",0.0101027910785706,0.0376186752955296
"259","Rheumatic heart disease","Ageing-related",0.517500601480465,1.23704934966148
"260","Rheumatoid arthritis","Ageing-related",0.119312890123141,0.285209201131014
"261","Scabies","Infant",0.114350256791205,0.42579373825846
"262","Schistosomiasis","Adult (early)",0.0740574612258381,0.462490854952181
"263","Schizophrenia","Adult (early)",0.606083432242597,3.78500748081861
"264","Seborrhoeic dermatitis","Adult (late)",0.0128215863714277,0.0838121281086868
"265","Self-harm by firearm","Adult (early)",0.105516777755756,0.658955140350297
"266","Self-harm by other specified means","Adult (early)",1.15380454834329,7.20554071363206
"267","Sickle cell disorders","Infant",0.153767723748862,0.572568315592604
"268","Sickle cell trait","Infant",0.0845099925416167,0.314680759398671
"269","Silicosis","Ageing-related",0.0124520431923161,0.0297657469169003
"270","Soft tissue and other extraosseous sarcomas","Ageing-related",0.0795003537054984,0.190040089939792
"271","Stomach cancer","Ageing-related",0.804196618967656,1.92237632506684
"272","Subarachnoid hemorrhage","Ageing-related",0.402319097025944,0.961715939862774
"273","Sudden infant death syndrome","Infant",0.0820726225341871,0.305604987152024
"274","Syphilis","Infant",0.24425562261412,0.909508361082338
"275","Tension-type headache","Adult (late)",0.165666484062806,1.08292844452769
"276","Testicular cancer","Adult (early)",0.0210200513131829,0.131270790843433
"277","Tetanus","Infant",0.0444419246017151,0.165483609242058
"278","Thalassemias","Infant",0.0358156171110188,0.133362756898568
"279","Thalassemias trait","Infant",0.075738172854913,0.282018078959303
"280","Thyroid cancer","Ageing-related",0.055774341645232,0.13332470119387
"281","Thyroid diseases","Ageing-related",0.258023168070013,0.616786514538287
"282","Tracheal, bronchus, and lung cancer","Adult (late)",1.66755664800251,10.9004819966997
"283","Trachoma","Ageing-related",0.00520089675636931,0.0124323835213282
"284","Trichomoniasis","Adult (early)",0.00851735862243398,0.0531911357211022
